Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
641,,0.003101,2.000000,9.240875,87.408750,9.240875,-1.327955,3.243100,7.035172,1.418850,95.995842,1.611185,17.703762,-40.883201
642,,0.004616,2.000000,9.240875,87.408750,9.240875,-1.330511,3.243745,7.036667,2.110939,94.288054,2.382676,17.352184,-40.269892
643,,0.006131,2.000000,9.240875,87.408750,9.240875,-1.333067,3.244390,7.038162,2.801634,91.928362,3.135739,16.866400,-39.422469
644,,0.007646,2.000000,9.240875,87.408750,9.240875,-1.335624,3.245035,7.039655,3.490480,88.935015,3.864549,16.250166,-38.347486
645,,0.009162,2.000000,9.240875,87.408750,9.240875,-1.338181,3.245680,7.041147,4.177021,85.331165,4.563470,15.508250,-37.053255
646,,0.010677,2.000000,9.240875,87.408750,9.240875,-1.340739,3.246325,7.042639,4.860804,81.144686,5.227096,14.646390,-35.549789
647,,0.012192,2.000000,9.240875,87.408750,9.240875,-1.343297,3.246970,7.044129,5.541377,76.407956,5.850295,13.671250,-33.848714
648,,0.013707,2.000000,9.240875,87.408750,9.240875,-1.345856,3.247615,7.045619,6.218292,71.157611,6.428245,12.590374,-31.963187
649,,0.015222,2.000000,9.240875,87.408750,9.240875,-1.348415,3.248260,7.047107,6.891101,65.434258,6.956478,11.412121,-29.907792
701,,0.094010,2.000000,9.240875,87.408750,9.240875,-1.482231,3.281896,7.123209,26.984454,69.326915,-6.607523,12.213493,-31.305740
702,,0.095525,2.000000,9.240875,87.408750,9.240875,-1.484818,3.282545,7.124646,26.959201,74.737363,-6.045436,13.327329,-33.248763
703,,0.097040,2.000000,9.240875,87.408750,9.240875,-1.487407,3.283194,7.126082,26.916148,79.647117,-5.436591,14.338089,-35.011975
704,,0.098555,2.000000,9.240875,87.408750,9.240875,-1.489996,3.283843,7.127517,26.855322,84.018202,-4.785698,15.237954,-36.581738
705,,0.100071,2.000000,9.240875,87.408750,9.240875,-1.492585,3.284492,7.128951,26.776766,87.816813,-4.097792,16.019965,-37.945912
706,,0.101586,2.000000,9.240875,87.408750,9.240875,-1.495175,3.285141,7.130384,26.680529,91.013569,-3.378192,16.678073,-39.093945
707,,0.103101,2.000000,9.240875,87.408750,9.240875,-1.497765,3.285790,7.131817,26.566677,93.583746,-2.632465,17.207190,-40.016958
708,,0.104616,2.000000,9.240875,87.408750,9.240875,-1.500356,3.286439,7.133248,26.435283,95.507466,-1.866377,17.603222,-40.707813
709,,0.106131,2.000000,9.240875,87.408750,9.240875,-1.502947,3.287089,7.134678,26.286436,96.769851,-1.085855,17.863106,-41.161166
710,,0.107646,2.000000,9.240875,87.408750,9.240875,-1.505539,3.287739,7.136107,26.120232,97.361136,-0.296934,17.984832,-41.373511
711,YES,0.000947,2.000000,9.610668,92.329500,9.610668,-1.508132,3.288388,7.137536,0.534930,117.179090,0.653372,19.950544,-44.913451
712,,0.002462,2.000000,9.610668,92.329500,9.610668,-1.510725,3.289038,7.138963,1.190029,101.311183,1.369599,18.290322,-41.933891
713,,0.003977,2.000000,9.610668,92.329500,9.610668,-1.513318,3.289688,7.140389,1.921501,99.679842,2.199425,17.963553,-41.363369
714,,0.005492,2.000000,9.610668,92.329500,9.610668,-1.515912,3.290339,7.141814,2.651632,97.298312,3.010852,17.486514,-40.530486
